Antwerpen Open;de Graaf Jan C.;Reunes Nick;31;34;F5-D6-C3-D3-C4-F4-E6-B3-E2-C5-C6-G5-B6-D2-E3-F7-B4-D7-D1-A5-C2-C7-A6-B5-A3-F3-A4-F2-C8-F1-D8-B1-C1-E1-F6-E7-F8-E8-G4-G6-G3-H3-H5-B8-A8-B2-H6-G7-G8-A7-B7-H2-A1-A2-G1-H8-H7-H4-G2-H1
Antwerpen Open;Sneek Marcel;Reunes Nick;14;32;F5-D6-C3-D3-C4-F4-C5-B3-C2-E3-D2-C6-B4-A3-B5-A4-A6-B6-A5-A7-G3-E2-F3-F2-D1-F1-D7-E7-C7-E8-D8-C8-E1-G4-H3-G6-F8-G8-E6-G5-F6-H4-H5-H6-H7-G2-G1-H1-H2-F7-B7-H8-G7-A8-A2-B8-A1-B2-B1-C1
Antwerpen Open;May Michael;de Graaf Jan C.;20;25;F5-D6-C3-D3-C4-F4-F6-F3-E6-E7-F7-C5-B6-G5-G6-D7-C6-C7-D2-B5-E3-B4-E8-D8-A6-H6-A5-F8-G4-H5-H4-E2-F1-H3-G3-A3-A4-A7-B7-H2-G8-F2-G1-A8-G7-D1-C1-E1-B2-B3-C2-A2-C8-B8-B1-A1-G2-H8-H7-H1
Antwerpen Open;Nicholls Frederic;de Graaf Jan C.;28;24;F5-D6-C3-D3-C4-F4-C5-B3-C2-F6-G5-E3-E2-F3-D2-B4-C6-B6-C7-F2-B5-G4-E7-H6-A6-G6-H5-H4-H3-G3-H7-E6-D7-A5-H2-F1-D1-B1-C1-E1-G2-F7-E8-G8-A3-H1-G1-H8-F8-G7-A1-A4-A7-A8-A2-B8-C8-D8-B7-B2
Antwerpen Open;de Graaf Jan C.;van de Moortel Frau;38;38;F5-F6-E6-F4-E3-C5-G5-D6-G6-F2-F7-F3-D7-G3-C6-C7-C4-D8-D3-E7-E8-G4-E2-H5-B4-D1-H6-H4-G7-B6-C3-F8-G8-B5-C2-D2-B3-C1-A6-A5-A3-A4-B2-B7-B1-A1-A2-A7-A8-H8-H7-B8-C8-G1-E1-F1-H1-G2-H2-H3
Antwerpen Open;de Boer Rosalinde;Sneek Marcel;46;51;F5-D6-C5-F4-E3-C6-E6-D3-C4-F3-D7-B4-C7-G6-G5-H6-B3-F6-A4-E7-F8-B5-C3-C8-D8-B6-A5-C2-F7-A7-C1-E8-B8-A2-G7-B1-A1-A3-A6-G8-H8-H7-B2-B7-H5-H4-G4-G3-D2-D1-E2-H3-H2-F2-G1-G2-E1-F1-H1-A8
Antwerpen Open;May Michael;Sneek Marcel;46;46;F5-D6-C3-D3-C4-F4-C5-B3-D2-E3-B4-D1-C2-B5-A6-F6-F2-F3-A3-C1-E2-A4-A5-C6-E1-E6-G3-G4-F1-G1-H4-H5-A2-G5-B6-H3-G2-H1-H2-B2-C7-B7-A8-D7-A7-B8-C8-D8-E8-E7-F8-F7-G8-G7-H7-H8-H6-G6-B1-A1
Antwerpen Open;Van Damme Brecht;Sneek Marcel;18;41;F5-D6-C5-F4-E3-C6-D3-F3-E6-F6-G4-G3-G5-B4-F2-C4-F7-E2-B5-E1-D2-H4-C3-B3-C2-A4-A6-D1-F1-G1-E7-C7-H5-A5-D7-H6-B6-G6-H3-H2-A3-F8-G8-D8-E8-H8-C8-B8-B7-A8-A7-A2-C1-B1-B2-A1-H7-G7-H1-G2
Antwerpen Open;Sneek Marcel;Nicholls Frederic;46;31;F5-D6-C3-D3-C4-F4-C5-B3-C2-B4-B5-D2-E3-B6-A6-C6-C1-A5-D7-F3-G4-E1-C7-G5-F6-E6-E7-F7-F2-E2-F1-D1-A4-B2-G3-E8-H6-D8-A1-B1-G8-G6-C8-B8-H7-G2-H1-G1-A7-H3-H4-B7-A3-H5-H2-A8-F8-G7-A2-H8
Australian National;Vinar Matt;Hughes Scott;46;35;F5-D6-C3-D3-C4-F4-F6-B4-F3-E6-E3-F2-C5-C6-E2-B5-F7-G5-D7-C7-G4-E8-H6-E7-B6-G6-F8-H5-H4-A5-A3-C2-D2-A4-B3-G8-F1-D1-E1-G1-C1-B1-B2-G3-D8-C8-H7-A1-A2-G7-H8-B8-B7-A8-A7-H2-H3-A6-H1-G2
Beijing Open;Kang Le;Song Yan;26;28;F5-D6-C3-D3-C4-F4-F6-G5-E3-F3-G6-E2-H5-C5-G4-D2-F2-B5-D1-C2-E6-E7-E8-F1-C1-G1-C7-D7-B1-G3-H2-F8-C8-D8-G8-F7-B2-B3-A3-A1-E1-A2-B4-C6-B6-G2-H1-H6-H7-A6-A5-A7-A8-B8-B7-H8-G7-A4-H4-H3
Beijing Open;Wang Weiwei;Jia Baolong;39;41;F5-D6-C5-F4-E3-F6-F3-C4-D3-E6-C3-E2-F2-C2-G4-B4-A4-B5-E1-H4-G5-H5-H6-G6-H3-D2-D7-E7-E8-F7-F8-C8-G3-G1-B3-A5-A3-A2-D8-B6-F1-D1-B8-G7-C6-C7-H7-H2-H1-G2-C1-B1-A1-B2-A6-A7-A8-B7-H8-G8
Beijing Open;Wang Weiwei;Song Yan;14;26;F5-D6-C3-D3-C4-F4-C5-B3-C2-E6-B4-F3-E3-E2-G4-D2-C6-G3-F1-E1-D1-F2-G5-F6-H3-H5-C7-D7-D8-H4-H6-G6-A4-B5-B6-A5-H2-A3-H7-E7-G7-G2-E8-A6-B7-A7-H1-G1-A8-B8-C8-F7-F8-G8-H8-A2-B2-A1-B1-C1
Beijing Open;Kang Le;Jia Baolong;33;36;F5-D6-C3-D3-C4-F4-F6-F3-G4-G3-E6-B3-D2-C5-F2-E2-C2-E3-D1-H4-B4-A3-B6-C6-G5-A6-D7-C1-H5-C7-B5-F7-H3-C8-A5-E1-F1-G1-E7-E8-G6-H6-H7-B2-D8-G7-G8-F8-A1-G2-A2-B1-A4-H8-A7-B8-A8-B7-H1-H2
Belarus Championship;Puzzo Luigi;Kryvasheyeu Andrei;31;23;F5-D6-C5-F4-D3-E3-G4-G5-E2-C4-F3-E6-C6-D2-B3-B4-C3-C2-A5-F1-H6-B5-A4-B6-D1-C1-B1-A3-A2-G3-H3-E1-G1-F2-E7-F7-G6-F6-D7-A6-A7-B2-G7-H8-H7-H4-A1-H5-G2-H2-H1-G8-F8-E8-B7-C7-C8-D8-B8-A8
British Nationals;Barrass Iain;Leader Imre;30;35;F5-D6-C4-D3-C3-F4-E3-F3-E6-F6-G4-G3-E2-H3-G5-H4-H6-G6-C7-F2-E7-D8-F8-B6-B8-D7-F7-D1-A5-C2-D2-C1-G2-B3-E1-B5-F1-C6-C5-A4-H2-A6-H7-E8-C8-B4-B2-A1-B1-B7-H5-G1-A8-A7-A3-A2-G7-H8-G8-H1
Cambridge Christmas;Leader Imre;Plowman Mark;50;59;F5-F6-E6-F4-G5-G6-G4-H6-H5-G3-H7-D7-E7-F7-C3-D6-C6-C7-F8-C5-E8-E3-H4-G8-H8-G7-G2-D8-F3-H1-C8-H2-B4-C4-B8-A4-B5-B6-A6-D2-A5-A7-D3-E2-A3-A2-B3-C2-B2-B7-B1-C1-D1-E1-A1-F2-A8-H3-G1-F1
Cambridge Christmas;Arnold Roy;Leader Imre;17;12;F5-F6-E6-F4-E3-D6-E7-D7-C6-C5-G6-B5-B4-C4-D3-C3-G3-B3-D8-D2-A5-A4-D1-A6-C7-G4-F3-B6-C2-F7-F8-G5-H5-C8-B8-E8-B7-C1-B1-G7-A3-A8-H8-G8-A7-E2-F2-H4-H3-A2-B2-A1-H6-E1-F1-G1-H1-G2-H2-H7
Cambridge Christmas;Leader Imre;Plowman Guy;55;38;F5-F6-E6-F4-G5-D6-E7-G4-F3-H5-E3-D3-C7-F7-G6-E8-H6-H7-H4-H3-G3-D2-D7-C8-D8-H2-E2-F1-E1-D1-F2-C6-C5-B5-B4-C4-F8-G8-A5-B6-C3-A6-A7-A3-C2-B3-B1-G1-B2-A4-A2-B7-A8-B8-H8-C1-H1-G2-G7
Cambridge Christmas;Pridmore Ben;Leader Imre;10;14;F5-F6-E6-F4-E3-D6-C4-F3-G3-F2-G4-D3-E2-G5-E7-H3-F1-C2-C3-D7-C1-E1-C5-C7-D1-C6-D8-C8-B6-D2-E8-F8-H6-H4-H5-H7-F7-H2-G2-H1-G1-B1-B2-G6-G7-B5-B3-H8-A6-B8-B7-A8-A7-A1-B4-G8-A2-A3-A5-A4
Cambridge Christmas;Leader Imre;Brand Richard;45;43;F5-F6-E6-F4-G5-D6-E7-G4-F3-G3-E3-D7-G6-F7-H5-H3-H4-H6-F8-F2-E2-D1-F1-D2-E1-G1-D3-E8-C4-C5-C3-B5-C2-B4-B3-G8-A6-B6-A7-A3-C6-G7-C8-C1-A5-A4-A2-G2-C7-B7-B8-A8-D8-A1-H8-B2-H7-H2-B1-H1
Cambridge Christmas;Plowman Luke;Leader Imre;11;20;F5-F6-E6-F4-G5-D6-F7-G4-G3-H4-F3-H5-G6-E7-H6-H7-D7-E3-C7-F8-C5-C4-C6-D3-E2-E8-B3-D8-C8-B8-C2-H3-G7-H2-C3-B6-A6-F2-G1-B5-A5-A4-A3-B4-G2-H1-G8-H8-B7-C1-D2-D1-B2-A1-B1-F1-E1-A2-A7
Cambridge Christmas;Leader Imre;Brand Henry;47;52;F5-F6-E6-F4-G5-H6-E3-D2-E2-D6-G4-H3-G6-F2-E1-F3-E7-D8-C5-C3-D3-B4-D7-C7-C6-B5-D1-C4-B3-A3-F8-H7-C2-B1-C1-F1-G7-F7-E8-B2-A4-B6-H4-A5-H5-G3-C8-B7-A8-B8-A7-A6-A2-G8-H8-A1-G1-G2-H2-H1
Cambridge Christmas;Plowman Jessie;Plowman Guy;5;0;F5-F6-E6-F4-G3-D6-C7-G4-C3-D7-D8-C5-H4-C6-E7-F7-F8-G5-B6-C8-H5-A6-A5-A4-B8-E8-B7-A8-A7-B5-G8-G6-H7-H6-G7-F3-D3-H8-E3-C2-C1-D2-D1-H3-F2-B2-C4-B3-B4-A3-A1-E1-F1-A2
Cambridge Christmas;Plowman Guy;Brand Richard;54;47;F5-F6-E6-F4-G6-C6-F3-G4-G3-G5-D6-E3-H4-E2-H3-D7-C5-B4-F2-E7-F7-H6-C8-C7-D1-F1-B5-C4-B6-E1-A3-C1-F8-D8-E8-A4-A5-A7-H5-H2-A6-A2-G2-B7-B8-H1-D3-C3-A8-H7-A1-G8-H8-B3-G1-D2-B1-B2-G7-C2
Cambridge Christmas;Plowman Guy;Plowman Luke;43;47;F5-D6-C5-F4-E3-C6-E6-F3-D3-C4-C3-F2-E2-C2-B4-B3-D2-F1-C1-D1-A3-A5-G4-A4-A6-G3-F6-E7-B5-H4-A2-B6-E1-B1-A7-G6-D7-C8-F8-F7-D8-E8-B8-C7-G8-G7-H8-G5-H5-H3-H2-H6-H7-G2-H1-G1-A1-B2-B7-A8
Cambridge Christmas;Plowman Guy;Pridmore Ben;40;32;F5-F6-E6-F4-G6-E7-G5-F7-D6-C4-C5-D7-C6-B6-C8-D8-F8-B8-C7-H5-A6-A7-A8-E8-H6-H7-G4-H4-B5-B7-E3-D3-G3-F3-H3-G7-B3-C3-B4-F2-H8-G8-H2-A5-A3-G2-A4-A2-A1-B2-C2-D1-B1-C1-D2-E1-E2-H1-G1-F1
Cambridge Christmas;Brand James;Plowman Guy;1;0;F5-F6-F7-E3-F3-F4-D3-E2-F1-G5-H4-H6-F2-D2-C2-C4-B3-C3-B4-C5-G6-D1-G4-B5-A5-C1-B2-E1-B1-A3-A4-A1-A2-G1-G2-A6-B6-B7-A7-A8-B8-C6-C7-C8-D6-D7-D8-F8-E7-E6-G7-E8-G8-H8-H7-H5-H1-H2-H3-G3
Cambridge Christmas;Arnold Roy;Plowman Guy;21;24;F5-F6-E6-F4-E3-D6-E7-F7-G6-G5-C6-E8-F3-C4-C5-B5-B6-D3-H5-D7-C7-B4-F8-H6-D8-C8-H7-E2-A5-A4-F2-G3-E1-D2-A6-G8-H2-G4-C1-C3-A3-D1-F1-C2-B3-G2-H1-G1-B2-A1-B1-H3-H4-A2-B7-A8-B8-A7-H8-G7
Campionati Italiani;Scognamiglio Paolo;Di Mattei Alessandr;27;30;F5-F6-E6-F4-C3-D6-F3-E3-D3-C5-G4-H3-H5-E2-F2-G3-F1-G5-G6-C4-H6-H4-H2-C2-F7-E7-D8-F8-B6-C6-D2-E1-B5-B4-A4-B3-A3-G1-C1-D1-H1-G2-E8-C8-B7-C7-D7-H7-H8-B8-G7-A8-A7-A6-A5-A2-B2-B1-A1-G8
Campionati Italiani;Di Mattei Alessandr;Scognamiglio Paolo;39;33;F5-F6-E6-F4-E3-D6-C4-F3-G3-F2-G4-H3-C6-E2-G5-H6-D3-C3-E7-E8-F7-D7-C2-C5-H4-H5-D2-B4-B3-B5-F1-D1-C8-D8-F8-G6-E1-G1-B6-A7-G7-C1-B2-A4-A2-A3-A1-G2-A5-B1-H1-H2-H7-H8-G8-B8-C7-B7-A6-A8
Campionati Italiani;Marconi Francesco;Palladino Domenico;31;26;F5-D6-C3-F4-F6-C4-E3-F3-D3-E2-G4-E6-D2-F2-C2-G3-G5-B3-F1-H4-H5-H6-D1-E7-H3-G6-F7-H2-C5-C6-A3-G2-G7-E1-C7-D7-H1-G1-H7-B6-B5-H8-G8-A6-B4-A4-C8-F8-E8-D8-A5-A2-B8-A8-A7-B7-A1-B1-C1-B2
